municipio;ano;mes;internacoes
CAMPO BOM;2022;2;0
CAMPO BOM;2022;3;0
CAMPO BOM;2022;4;0
CAMPO BOM;2022;5;0
CAMPO BOM;2022;6;0
CAMPO BOM;2022;7;0
CAMPO BOM;2022;8;1
CAMPO BOM;2022;9;0
CAMPO BOM;2022;10;0
CAMPO BOM;2022;11;0
CAMPO BOM;2022;12;0
CAMPO BOM;2023;1;0
CAMPO BOM;2023;2;0
CAMPO BOM;2023;3;0
CAMPO BOM;2023;4;0
CAMPO BOM;2023;5;0
CAMPO BOM;2023;6;1
CAMPO BOM;2023;7;1
CAMPO BOM;2023;8;0
CAMPO BOM;2023;9;0
CAMPO BOM;2023;10;1
CAMPO BOM;2023;11;0
CAMPO BOM;2023;12;0
CAMPO BOM;2024;1;0
CAMPO BOM;2024;2;0
CAMPO BOM;2024;3;0
CAMPO BOM;2024;4;0
CAMPO BOM;2024;5;4
CAMPO BOM;2024;6;1
CAMPO BOM;2024;7;0
CAMPO BOM;2024;8;0
CAMPO BOM;2024;9;0
CAMPO BOM;2024;10;0
CAMPO BOM;2024;11;0
CAMPO BOM;2024;12;1
CAMPO BOM;2025;1;0
CAMPO BOM;2025;2;0
CAMPO BOM;2025;3;0
CAMPO BOM;2025;4;0
CAMPO BOM;2025;5;0
CAMPO BOM;2025;6;0
CAMPO BOM;2025;7;1
CAMPO BOM;2025;8;0
CAMPO BOM;2025;9;0
CAMPO BOM;2025;10;0
CAMPO BOM;2025;11;0
CAMPO BOM;2025;12;0
CANELA;2015;1;0
CANELA;2015;2;0
CANELA;2015;3;0
CANELA;2015;4;0
CANELA;2015;5;0
CANELA;2015;6;0
CANELA;2015;7;0
CANELA;2015;8;0
CANELA;2015;9;0
CANELA;2015;10;0
CANELA;2015;11;0
CANELA;2015;12;1
CANELA;2016;1;0
CANELA;2016;2;0
CANELA;2016;3;0
CANELA;2016;4;0
CANELA;2016;5;0
CANELA;2016;6;0
CANELA;2016;7;0
CANELA;2016;8;0
CANELA;2016;9;0
CANELA;2016;10;0
CANELA;2016;11;0
CANELA;2016;12;0
CANELA;2017;1;1
CANELA;2017;2;0
CANELA;2017;3;0
CANELA;2017;4;0
CANELA;2017;5;0
CANELA;2017;6;0
CANELA;2017;7;0
CANELA;2017;8;0
CANELA;2017;9;0
CANELA;2017;10;0
CANELA;2017;11;1
